NL,m,P1,T1,P3,T3,TJ,Analytical value,Experimental value
95.0504,69.8002,13.13,25.8,222.5,752,685,76.0174,44.395
95.792,71.5995,13.16,26.1,233.5,742.9,651.4,72.6498,65.057
96.1042,72.1003,13.12,26.1,235.2,743.5,646.3,68.9307,58.1874
96.4946,72.4002,13.15,24.5,234.3,761,686.9,67.4881,81.0985
97.373,74.1005,13.15,25.2,243.9,747.9,672,68.2048,77.7258
96.1045,71.8004,13.14,27,233.2,745.3,661.8,76.1176,56.0948
96.4399,72.8,13.19,24.4,239.1,741.5,660.5,79.6377,82.7468
96.503,73.9995,13.16,26.6,244.1,749.3,662.9,71.4396,72.5101
96.3303,72.5001,13.2,23.8,238,742.3,666.7,71.02,82.1088
96.8761,73.7996,13.2,23.2,243.4,741.2,668.2,83.9,90.1076
96.8362,72.9999,13.15,25.8,238.6,746.1,673.9,74.0933,71.6001
97.4108,74.4004,13.18,24.1,247.8,745.8,672.5,87.6346,88.7241
95.8099,72.5001,13.18,26.7,236.6,746.8,644.3,85.2,76.6713
97.3152,74.3004,13.23,23.9,247.4,725.5,670.8,100.0489,97.962
95.1312,69.8002,13.21,24.9,229.7,744,657.65,64.6306,58.4124
96.3151,71.1997,13.21,26.3,229.9,740.9,665.6,62.2268,79.2078
96.7433,72.1003,13.2,25.9,235.2,741.9,667.6,66.9227,85.2148
95.1553,70.3,13.12,26.1,231.8,744.8,650.75,64.6124,39.5047
96.5328,70.8998,13.22,25.7,231,733.5,656.75,65.4812,83.3535
96.5794,71.0997,13.24,25.5,230.4,731.9,650.7,66.156,92.3317
96.6077,71.8004,13.23,25.7,232.6,734.5,655.05,58.9091,89.197
96.6187,71.9004,13.22,26.4,233.3,738.6,658.85,60.1873,86.7401
95.233,70.5999,13.19,24.6,232,745,650.4,59.1696,62.5584
95.2209,71.5995,13.16,23.5,234.9,742.5,662.6,67.1881,50.7653
